Year,Topic/Unit,Contents,SL Classes,SL Minutes,HL Classes,HL Minutes,Level,Allocated Time Display
Year 1,"Topic 1: System Fundamentals (hal. 11, 18–22)","1.1.1 - 1.1.3 Planning and change management: context of new system, organizational issues, need for change management, and compatibility issues (legacy systems, mergers)",2,90,2,90,SL & HL,SL: 2 Classes (90 Min) | HL: 2 Classes (90 Min)
Year 1,"Topic 1: System Fundamentals (hal. 11, 18–22)","1.1.4 - 1.1.5 System implementation & installation: SaaS remote hosting vs client hardware, and alternative installation processes (parallel, pilot, direct changeover, phased conversion)",2,90,2,90,SL & HL,SL: 2 Classes (90 Min) | HL: 2 Classes (90 Min)
Year 1,"Topic 1: System Fundamentals (hal. 11, 18–22)","1.1.6 - 1.1.7 Data migration & system testing: migration problems (incompatible formats, validation rules, character sets) and testing strategies (user acceptance, debugging, beta, automated testing)",1,45,1,45,SL & HL,SL: 1 Classes (45 Min) | HL: 1 Classes (45 Min)
Year 1,"Topic 1: System Fundamentals (hal. 11, 18–22)","1.1.8 - 1.1.10 User focus: importance and methods of user documentation (help files, online support, manuals) and user training methods (self-instruction, formal classes, remote training)",3,135,3,135,SL & HL,SL: 3 Classes (135 Min) | HL: 3 Classes (135 Min)
Year 1,"Topic 1: System Fundamentals (hal. 11, 18–22)","1.1.11 - 1.1.13 System backup: causes and consequences of data loss, and prevention methods (failover systems, redundancy, removable media, offsite/online storage)",3,135,3,135,SL & HL,SL: 3 Classes (135 Min) | HL: 3 Classes (135 Min)
Year 1,"Topic 1: System Fundamentals (hal. 11, 18–22)","1.1.14 Software deployment: strategies for managing releases and updates (patches, automatic updates)",2,90,2,90,SL & HL,SL: 2 Classes (90 Min) | HL: 2 Classes (90 Min)
Year 1,"Topic 1: System Fundamentals (hal. 11, 18–22)","1.2.1 - 1.2.3 Components of a computer system: hardware, software, peripherals, network, human resources, roles of computers (server, router, firewall), and networked world ethics",3,135,3,135,SL & HL,SL: 3 Classes (135 Min) | HL: 3 Classes (135 Min)
Year 1,"Topic 1: System Fundamentals (hal. 11, 18–22)","1.2.4 - 1.2.6 Stakeholder requirements: identifying stakeholders, methods of obtaining requirements (surveys, interviews, observations), and information gathering techniques",2,90,2,90,SL & HL,SL: 2 Classes (90 Min) | HL: 2 Classes (90 Min)
Year 1,"Topic 1: System Fundamentals (hal. 11, 18–22)","1.2.7 - 1.2.9 System modeling & design cycle: representations (flow charts, DFDs, structure charts), prototyping purpose, and iterative design cycle",3,135,3,135,SL & HL,SL: 3 Classes (135 Min) | HL: 3 Classes (135 Min)
Year 1,"Topic 1: System Fundamentals (hal. 11, 18–22)",1.2.10 - 1.2.11 End-user involvement & social impact: consequences of failing to involve end-users and social/ethical issues of introducing new IT systems,2,90,2,90,SL & HL,SL: 2 Classes (90 Min) | HL: 2 Classes (90 Min)
Year 1,"Topic 1: System Fundamentals (hal. 11, 18–22)","1.2.12 - 1.2.16 Human interaction with the system: usability definitions (ergonomics/accessibility), usability problems in devices/systems, accessibility improvement methods, and human-machine implications",4,180,4,180,SL & HL,SL: 4 Classes (180 Min) | HL: 4 Classes (180 Min)
Year 1,"Topic 2: Computer organization (hal. 11, 22–25)","2.1.1 - 2.1.4 Computer architecture: CPU architecture (ALU, CU, MAR, MDR registers), primary memory (RAM vs ROM), cache memory, and machine instruction cycle (data/address bus)",2,90,2,90,SL & HL,SL: 2 Classes (90 Min) | HL: 2 Classes (90 Min)
Year 1,"Topic 2: Computer organization (hal. 11, 22–25)",2.1.5 Secondary memory: need for persistent storage (non-volatile storage),1,45,1,45,SL & HL,SL: 1 Classes (45 Min) | HL: 1 Classes (45 Min)
Year 1,"Topic 2: Computer organization (hal. 11, 22–25)","2.1.6 - 2.1.8 Operating systems & applications: functions of an operating system (memory management), application software range, and common GUI/OS features",1,45,1,45,SL & HL,SL: 1 Classes (45 Min) | HL: 1 Classes (45 Min)
Year 1,"Topic 2: Computer organization (hal. 11, 22–25)","2.1.9 - 2.1.10 Binary representation: bits, bytes, binary, decimal, hexadecimal, and data representations (strings, integers, characters, colors, Unicode)",2,90,2,90,SL & HL,SL: 2 Classes (90 Min) | HL: 2 Classes (90 Min)
